,날짜,구,생활인구수,유동인구수,전체점포수,프랜차이즈점포수,일반점포수,확진자수
149,2020-02-06,중랑구,360769.7359,287799.5833,16161,1275,14886,0
150,2020-02-07,강남구,899826.2142,654097.9167,55875,4371,51504,0
151,2020-02-07,강동구,506553.8983,327106.25,20974,1901,19073,0
152,2020-02-07,강북구,306378.7089,231237.9167,13417,1075,12342,0
153,2020-02-07,강서구,549633.5362,438200.8333,25902,2633,23269,0
154,2020-02-07,관악구,489650.0962,383875.4167,19734,1908,17826,0
155,2020-02-07,광진구,368957.7104,279888.3333,19004,1662,17342,0
156,2020-02-07,구로구,401603.9482,355072.0833,22318,1785,20533,0
157,2020-02-07,금천구,237275.7168,237334.1667,15677,1274,14403,0
158,2020-02-07,노원구,532063.6634,390445.8333,18188,1859,16329,0
159,2020-02-07,도봉구,280519.1462,217462.9167,11691,992,10699,0
160,2020-02-07,동대문구,363213.2695,287788.3333,21212,1475,19737,0
161,2020-02-07,동작구,406359.9421,309072.0833,15894,1581,14313,0
162,2020-02-07,마포구,477533.4607,348050,28419,2417,26002,0
163,2020-02-07,서대문구,375805.7402,254752.9167,15024,1489,13535,0
164,2020-02-07,서초구,619705.1305,441938.3333,36555,2544,34011,0
165,2020-02-07,성동구,358220.009,262712.5,17072,1334,15738,0
166,2020-02-07,성북구,424304.0847,328675,17228,1584,15644,0
167,2020-02-07,송파구,773675.0301,520505,37450,3186,34264,0
168,2020-02-07,양천구,407099.2081,318602.5,18361,1655,16706,0
169,2020-02-07,영등포구,487028.6134,417445,27266,2258,25008,0
170,2020-02-07,용산구,301576.5216,221033.3333,19047,1178,17869,0
171,2020-02-07,은평구,447640.3945,322782.5,18313,1554,16759,0
172,2020-02-07,종로구,306859.7228,242096.6667,25500,1616,23884,1
173,2020-02-07,중구,299202.7701,266370.4167,40338,2095,38243,0
174,2020-02-07,중랑구,360292.0231,286795,16161,1275,14886,0
175,2020-02-08,강남구,762835.8466,507350.4167,55875,4371,51504,0
176,2020-02-08,강동구,521342.2665,344411.25,20974,1901,19073,0
177,2020-02-08,강북구,321574.316,251888.75,13417,1075,12342,0
178,2020-02-08,강서구,557191.1915,448300,25902,2633,23269,0
179,2020-02-08,관악구,520451.8895,419245,19734,1908,17826,0
180,2020-02-08,광진구,383692.293,298932.5,19004,1662,17342,0
181,2020-02-08,구로구,393779.3968,352589.5833,22318,1785,20533,0
182,2020-02-08,금천구,210726.9,204012.5,15677,1274,14403,0
183,2020-02-08,노원구,557804.9343,424574.1667,18188,1859,16329,0
184,2020-02-08,도봉구,294381.3184,237100.8333,11691,992,10699,0
185,2020-02-08,동대문구,366327.423,289282.0833,21212,1475,19737,0
186,2020-02-08,동작구,419001.4139,322171.6667,15894,1581,14313,0
187,2020-02-08,마포구,463265.1935,340152.0833,28419,2417,26002,0
188,2020-02-08,서대문구,359867.7129,253515.8333,15024,1489,13535,0
189,2020-02-08,서초구,551130.7629,363724.1667,36555,2544,34011,0
190,2020-02-08,성동구,344303.1042,242616.25,17072,1334,15738,0
191,2020-02-08,성북구,439517.4556,344394.1667,17228,1584,15644,0
192,2020-02-08,송파구,768456.8358,513007.5,37450,3186,34264,0
193,2020-02-08,양천구,424916.841,339783.75,18361,1655,16706,0
194,2020-02-08,영등포구,434068.5163,357430.8333,27266,2258,25008,0
195,2020-02-08,용산구,287592.6812,205392.0833,19047,1178,17869,0
196,2020-02-08,은평구,475639.1454,356401.6667,18313,1554,16759,0
197,2020-02-08,종로구,254424.6902,173182.5,25500,1616,23884,0
198,2020-02-08,중구,205896.9866,148728.3333,40338,2095,38243,0
199,2020-02-08,중랑구,379176.1843,310301.25,16161,1275,14886,0
200,2020-02-09,강남구,710114.2114,477099.5833,55875,4371,51504,0
201,2020-02-09,강동구,528784.3883,347192.5,20974,1901,19073,0
202,2020-02-09,강북구,329044.6272,252743.75,13417,1075,12342,0
203,2020-02-09,강서구,560312.4509,449940.4167,25902,2633,23269,0
204,2020-02-09,관악구,529948.511,420785,19734,1908,17826,0
205,2020-02-09,광진구,384711.6624,296137.0833,19004,1662,17342,0
206,2020-02-09,구로구,399167.7462,353052.0833,22318,1785,20533,0
207,2020-02-09,금천구,209203.9293,204162.0833,15677,1274,14403,0
208,2020-02-09,노원구,563835.2211,427909.5833,18188,1859,16329,0
209,2020-02-09,도봉구,301836.1746,242190,11691,992,10699,0
210,2020-02-09,동대문구,366351.2999,291456.6667,21212,1475,19737,0
211,2020-02-09,동작구,418056.6178,320468.3333,15894,1581,14313,0
212,2020-02-09,마포구,450578.6042,322700.4167,28419,2417,26002,0
213,2020-02-09,서대문구,358622.285,253751.6667,15024,1489,13535,0
214,2020-02-09,서초구,524873.2592,353381.25,36555,2544,34011,0
215,2020-02-09,성동구,338534.7325,239817.9167,17072,1334,15738,0
216,2020-02-09,성북구,446211.125,349203.75,17228,1584,15644,0
217,2020-02-09,송파구,762660.6532,509733.3333,37450,3186,34264,0
218,2020-02-09,양천구,427779.584,344936.25,18361,1655,16706,0
219,2020-02-09,영등포구,428712.3355,354362.9167,27266,2258,25008,0
220,2020-02-09,용산구,285174.6131,202930,19047,1178,17869,0
221,2020-02-09,은평구,482239.5663,360287.9167,18313,1554,16759,0
222,2020-02-09,종로구,235425.8245,165761.6667,25500,1616,23884,0
223,2020-02-09,중구,185631.2042,137359.5833,40338,2095,38243,0
224,2020-02-09,중랑구,385414.3964,313225.8333,16161,1275,14886,0
225,2020-02-10,강남구,892477.8526,647752.9167,55875,4371,51504,0
226,2020-02-10,강동구,505888.7191,325811.25,20974,1901,19073,0
227,2020-02-10,강북구,307063.1595,230501.6667,13417,1075,12342,0
228,2020-02-10,강서구,551603.7273,438327.0833,25902,2633,23269,0
229,2020-02-10,관악구,491716.0554,383811.25,19734,1908,17826,0
230,2020-02-10,광진구,370593.2984,278950.4167,19004,1662,17342,0
231,2020-02-10,구로구,402765.4856,356352.5,22318,1785,20533,0
232,2020-02-10,금천구,240545.3271,241787.5,15677,1274,14403,0
233,2020-02-10,노원구,533461.1204,385832.9167,18188,1859,16329,0
234,2020-02-10,도봉구,281915.3183,228748.75,11691,992,10699,0
235,2020-02-10,동대문구,364819.5028,287630.8333,21212,1475,19737,0
236,2020-02-10,동작구,408502.228,308728.3333,15894,1581,14313,0
237,2020-02-10,마포구,473357.5053,344684.1667,28419,2417,26002,0
238,2020-02-10,서대문구,376451.1345,253704.1667,15024,1489,13535,0
239,2020-02-10,서초구,612069.4583,436382.9167,36555,2544,34011,0
240,2020-02-10,성동구,358343.3508,261884.5833,17072,1334,15738,0
241,2020-02-10,성북구,428566.7625,330655,17228,1584,15644,0
242,2020-02-10,송파구,770786.906,518221.6667,37450,3186,34264,0
243,2020-02-10,양천구,406910.9585,317550.8333,18361,1655,16706,0
244,2020-02-10,영등포구,486792.2103,417164.1667,27266,2258,25008,0
245,2020-02-10,용산구,296388.6247,217346.6667,19047,1178,17869,0
246,2020-02-10,은평구,450971.7671,324344.5833,18313,1554,16759,0
247,2020-02-10,종로구,303967.8971,241393.3333,25500,1616,23884,0
248,2020-02-10,중구,298142.9784,268246.25,40338,2095,38243,0
249,2020-02-10,중랑구,361658.2077,287578.3333,16161,1275,14886,0
250,2020-02-11,강남구,907750.1357,656480.4167,55875,4371,51504,0
251,2020-02-11,강동구,504294.04,325009.1667,20974,1901,19073,0
252,2020-02-11,강북구,305995.9931,229142.9167,13417,1075,12342,0
253,2020-02-11,강서구,550177.9786,436071.25,25902,2633,23269,0
254,2020-02-11,관악구,491099.3048,382494.1667,19734,1908,17826,0
255,2020-02-11,광진구,368343.0591,277960,19004,1662,17342,0
256,2020-02-11,구로구,399919.5193,353622.0833,22318,1785,20533,0
257,2020-02-11,금천구,239163.1133,238871.6667,15677,1274,14403,0
258,2020-02-11,노원구,531253.3047,383918.3333,18188,1859,16329,0
259,2020-02-11,도봉구,279935.7654,227639.1667,11691,992,10699,0
260,2020-02-11,동대문구,364242.3466,287263.3333,21212,1475,19737,0
